Using device: cuda
Train samples: 26
Val samples: 8
Input channels: 633
Epoch 159 | train loss=0.9324, train IoU=0.1011 | val loss=1.0003, val IoU=0.0000
Epoch 160 | train loss=0.9323, train IoU=0.1642 | val loss=1.0002, val IoU=0.0000
Epoch 161 | train loss=0.9322, train IoU=0.1685 | val loss=1.0002, val IoU=0.0000
Epoch 162 | train loss=0.9337, train IoU=0.1582 | val loss=1.0002, val IoU=0.0000
Epoch 163 | train loss=0.9342, train IoU=0.1967 | val loss=1.0004, val IoU=0.0000
Epoch 164 | train loss=0.9380, train IoU=0.1462 | val loss=1.0003, val IoU=0.0000
Epoch 165 | train loss=0.9346, train IoU=0.1935 | val loss=1.0003, val IoU=0.0000
Epoch 166 | train loss=0.9333, train IoU=0.1947 | val loss=1.0002, val IoU=0.0000
Epoch 167 | train loss=0.9318, train IoU=0.2024 | val loss=1.0002, val IoU=0.0000
Epoch 168 | train loss=0.9315, train IoU=0.1676 | val loss=1.0002, val IoU=0.0000
Epoch 169 | train loss=0.9312, train IoU=0.2046 | val loss=1.0002, val IoU=0.0000
Epoch 170 | train loss=0.9310, train IoU=0.1695 | val loss=1.0002, val IoU=0.0000
Epoch 171 | train loss=0.9308, train IoU=0.2064 | val loss=1.0002, val IoU=0.0000
Epoch 172 | train loss=0.9308, train IoU=0.1690 | val loss=1.0002, val IoU=0.0000
Epoch 173 | train loss=0.9306, train IoU=0.2078 | val loss=1.0002, val IoU=0.0000
Epoch 174 | train loss=0.9316, train IoU=0.1650 | val loss=1.0002, val IoU=0.0000
Epoch 175 | train loss=0.9315, train IoU=0.2044 | val loss=1.0002, val IoU=0.0000
Epoch 176 | train loss=0.9338, train IoU=0.1569 | val loss=1.0002, val IoU=0.0000
Epoch 177 | train loss=0.9322, train IoU=0.2019 | val loss=1.0002, val IoU=0.0000
Epoch 178 | train loss=0.9317, train IoU=0.1670 | val loss=1.0002, val IoU=0.0000
Epoch 179 | train loss=0.9313, train IoU=0.1665 | val loss=1.0002, val IoU=0.0000
Epoch 180 | train loss=0.9329, train IoU=0.1995 | val loss=1.0004, val IoU=0.0000
Epoch 181 | train loss=0.9334, train IoU=0.1601 | val loss=1.0003, val IoU=0.0000
Epoch 182 | train loss=0.9322, train IoU=0.1667 | val loss=1.0002, val IoU=0.0000
Epoch 183 | train loss=0.9317, train IoU=0.1642 | val loss=1.0002, val IoU=0.0000
Epoch 184 | train loss=0.9307, train IoU=0.2085 | val loss=1.0002, val IoU=0.0000
Epoch 185 | train loss=0.9308, train IoU=0.2023 | val loss=1.0002, val IoU=0.0000
Epoch 186 | train loss=0.9300, train IoU=0.2095 | val loss=1.0002, val IoU=0.0000
Epoch 187 | train loss=0.9301, train IoU=0.1382 | val loss=1.0001, val IoU=0.0000
Epoch 188 | train loss=0.9302, train IoU=0.2087 | val loss=1.0002, val IoU=0.0000
Epoch 189 | train loss=0.9306, train IoU=0.2040 | val loss=1.0001, val IoU=0.0000
Epoch 190 | train loss=0.9301, train IoU=0.2045 | val loss=1.0001, val IoU=0.0000
Epoch 191 | train loss=0.9298, train IoU=0.2107 | val loss=1.0001, val IoU=0.0000
Epoch 192 | train loss=0.9298, train IoU=0.2063 | val loss=1.0001, val IoU=0.0000
Epoch 193 | train loss=0.9295, train IoU=0.2105 | val loss=1.0001, val IoU=0.0000
Epoch 194 | train loss=0.9300, train IoU=0.1381 | val loss=1.0001, val IoU=0.0000
Epoch 195 | train loss=0.9299, train IoU=0.2084 | val loss=1.0001, val IoU=0.0000
Epoch 196 | train loss=0.9306, train IoU=0.1665 | val loss=1.0001, val IoU=0.0000
Epoch 197 | train loss=0.9299, train IoU=0.2101 | val loss=1.0002, val IoU=0.0000
Epoch 198 | train loss=0.9310, train IoU=0.1992 | val loss=1.0001, val IoU=0.0000
Epoch 199 | train loss=0.9309, train IoU=0.1382 | val loss=1.0002, val IoU=0.0000
Epoch 200 | train loss=0.9380, train IoU=0.0967 | val loss=1.0002, val IoU=0.0000
Epoch 201 | train loss=0.9344, train IoU=0.1924 | val loss=1.0001, val IoU=0.0000
Epoch 202 | train loss=0.9372, train IoU=0.1531 | val loss=1.0003, val IoU=0.0000
Epoch 203 | train loss=0.9334, train IoU=0.1651 | val loss=1.0002, val IoU=0.0000
Epoch 204 | train loss=0.9311, train IoU=0.1999 | val loss=1.0001, val IoU=0.0000
Epoch 205 | train loss=0.9303, train IoU=0.2081 | val loss=1.0002, val IoU=0.0000
Epoch 206 | train loss=0.9299, train IoU=0.2061 | val loss=1.0002, val IoU=0.0000
Epoch 207 | train loss=0.9296, train IoU=0.2100 | val loss=1.0001, val IoU=0.0000
Epoch 208 | train loss=0.9295, train IoU=0.2087 | val loss=1.0001, val IoU=0.0000
Epoch 209 | train loss=0.9292, train IoU=0.2097 | val loss=1.0001, val IoU=0.0000
Epoch 210 | train loss=0.9290, train IoU=0.2129 | val loss=1.0001, val IoU=0.0000
Epoch 211 | train loss=0.9290, train IoU=0.2107 | val loss=1.0001, val IoU=0.0000
Epoch 212 | train loss=0.9289, train IoU=0.2124 | val loss=1.0001, val IoU=0.0000
Epoch 213 | train loss=0.9291, train IoU=0.2116 | val loss=1.0001, val IoU=0.0000
Epoch 214 | train loss=0.9293, train IoU=0.1389 | val loss=1.0001, val IoU=0.0000
Epoch 215 | train loss=0.9300, train IoU=0.2076 | val loss=1.0001, val IoU=0.0000
Epoch 216 | train loss=0.9301, train IoU=0.1696 | val loss=1.0001, val IoU=0.0000
Epoch 217 | train loss=0.9294, train IoU=0.2112 | val loss=1.0001, val IoU=0.0000
Epoch 218 | train loss=0.9299, train IoU=0.1691 | val loss=1.0001, val IoU=0.0000
Epoch 219 | train loss=0.9293, train IoU=0.2105 | val loss=1.0001, val IoU=0.0000
Epoch 220 | train loss=0.9289, train IoU=0.2111 | val loss=1.0001, val IoU=0.0000
Epoch 221 | train loss=0.9287, train IoU=0.1401 | val loss=1.0001, val IoU=0.0000
Epoch 222 | train loss=0.9284, train IoU=0.2138 | val loss=1.0001, val IoU=0.0000
Epoch 223 | train loss=0.9287, train IoU=0.2122 | val loss=1.0001, val IoU=0.0000
Epoch 224 | train loss=0.9286, train IoU=0.2126 | val loss=1.0001, val IoU=0.0000
Epoch 225 | train loss=0.9286, train IoU=0.1397 | val loss=1.0001, val IoU=0.0000
Epoch 226 | train loss=0.9289, train IoU=0.2119 | val loss=1.0001, val IoU=0.0000
Epoch 227 | train loss=0.9298, train IoU=0.2054 | val loss=1.0001, val IoU=0.0000
Epoch 228 | train loss=0.9297, train IoU=0.1393 | val loss=1.0001, val IoU=0.0000
Epoch 229 | train loss=0.9324, train IoU=0.1101 | val loss=1.0001, val IoU=0.0000
Epoch 230 | train loss=0.9343, train IoU=0.1279 | val loss=1.0001, val IoU=0.0000
Epoch 231 | train loss=0.9303, train IoU=0.2033 | val loss=1.0001, val IoU=0.0000
Epoch 232 | train loss=0.9300, train IoU=0.2067 | val loss=1.0001, val IoU=0.0000
Epoch 233 | train loss=0.9292, train IoU=0.2090 | val loss=1.0001, val IoU=0.0000
Epoch 234 | train loss=0.9296, train IoU=0.2084 | val loss=1.0001, val IoU=0.0000
Epoch 235 | train loss=0.9297, train IoU=0.2058 | val loss=1.0001, val IoU=0.0000
Epoch 236 | train loss=0.9299, train IoU=0.2092 | val loss=1.0001, val IoU=0.0000
Epoch 237 | train loss=0.9315, train IoU=0.1619 | val loss=1.0001, val IoU=0.0000
Epoch 238 | train loss=0.9303, train IoU=0.2073 | val loss=1.0001, val IoU=0.0000
